"","allteams"
"1","Bournemouth"
"2","Chelsea"
"3","Everton"
"4","Leicester"
"5","Man United"
"6","Norwich"
"7","Arsenal"
"8","Newcastle"
"9","Stoke"
"10","West Brom"
"11","Aston Villa"
"12","Southampton"
"13","Sunderland"
"14","Swansea"
"15","Tottenham"
"16","Watford"
"17","West Ham"
"18","Crystal Palace"
"19","Man City"
"20","Liverpool"
"21","QPR"
"22","Burnley"
"23","Hull"
"24","Fulham"
"25","Cardiff"
"26","Reading"
"27","Wigan"
"28","Blackburn"
"29","Bolton"
"30","Wolves"
"31","Birmingham"
"32","Blackpool"
"33","Portsmouth"
"34","Middlesbrough"
"35","Derby"
"36","Sheffield United"
"37","Charlton"
"38",""
"39","Leeds"
"40","Middlesboro"
"41","Ipswich"
"42","Coventry"
"43","Bradford"
"44","Sheffield Weds"
"45","Wimbledon"
"46","Nott'm Forest"
"47","Barnsley"
"48","Oldham"
"49","Swindon"
